,doc_url,name,bulletin,topic,commission
401_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-43-15150.pdf,"Iniciativa Popular Constituyente sobre dominio público de las aguas y minas, socialización, propiedad privada y su función social (15150)",Boletín 43-5 Popular,Dominio público de las aguas y minas,Comisión sobre Medio Ambiente
403_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-41-10234.pdf,"Iniciativa Popular Constituyente sobre derecho a la identidad, incluyendo características sexuales, identidades de género, expresiones de género y orientaciones sexuales (10234)",Boletín 41-4 Popular,Derecho a la identidad,Comisión de Derechos Fundamentales
405_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-39-4126.pdf,"Iniciativa Popular Constituyente que consagra el derecho a la salud física, mental, espiritual, sexual y reproductiva (4126)",Boletín 39-4 Popular,Derecho a la salud,Comisión de Derechos Fundamentales
407_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-37-4.738-LIBERTAD-D-EPENSAMIENTO-CONCIENCIA-Y-RELIGION.pdf,Iniciativa Popular Constituyente que establece libertad de conciencia y religión (4738),Boletín 37-4 Popular,Libertad de conciencia y religión,Comisión de Derechos Fundamentales
409_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-35-5918-reconocimiento-del-pueblo-tribal-afrodescendiente-chileno.pdf,Iniciativa Popular Constituyente sobre reconocimiento del pueblo tribal afrodescendiente chileno (5918),Boletín 35-1 Popular,Reconocimiento pueblo tribal afrodescendiente chileno,Comisión sobre Sistema Político
412_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-32-56422-derecho-al-cuidado-de-los-primeros-mil-dias-de-vida.pdf,Iniciativa Popular Constituyente que reconoce el derecho al cuidado de los primeros mil días de vida y protección de la maternidad y coparentabilidad (56422),Boletín 32-4 Popular,Protección maternidad,Comisión de Derechos Fundamentales
414_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-30-9414-reconoce-la-salud-mental-como-derecho.pdf,Iniciativa Popular Constituyente que reconoce la salud mental como un derecho (9414),Boletín 30-4 Popular,Salud mental,Comisión de Derechos Fundamentales
416_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-28-2826-reconocimiento-del-trabajo-decente.pdf,Iniciativa Popular Constituyente sobre reconocimiento y promoción del trabajo decente (2826),Boletín 28-4 Popular,Reconocimiento trabajo decente,Comisión de Derechos Fundamentales
418_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-26-3.422-Institucionalidad-ambiental-para-el-desarrollo-sostenible-con-proteccion-del-medio-ambiente.pdf,Iniciativa Popular Constituyente que establece el deber del Estado de velar por la protección del medio ambiente (3422),Boletín 26-5 Popular,Protección Medio Ambiente,Comisión sobre Medio Ambiente
420_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-24-20.654-Regula-el-estatuto-constitucional-sobre-minerales.pdf,Iniciativa Popular Constituyente sobre aprovechamiento sustentable de los recursos minerales (20654),Boletín 24-5 Popular,Sustentabilidad recursos minerales,Comisión sobre Medio Ambiente
411_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-33-10494-proteccion-del-Estado-a-los-Cuerpos-de-Bomberos.pdf,Iniciativa Popular Constituyente que establece protección del Estado a los Cuerpos de Bomberos (10494),Boletín 33-3 Popular,Protección Bomberos,Comisión sobre Forma de Estado
413_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-31-11050-derecho-a-practicar-deporte-y-a-participar-de-su-organizacion.pdf,Iniciativa Popular Constituyente que consagra el derecho a la práctica del deporte y a participar de su organización colectiva e individual (11050),Boletín 31-4 Popular,Derecho a práctica del deporte,Comisión de Derechos Fundamentales
415_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-29-9026-derecho-a-la-salud-y-Sistema-unico-y-Universal-de-Salud.pdf,Iniciativa Popular Constituyente que consagra el derecho a la salud y un Sistema único y universal de salud (9026),Boletín 29-4 Popular,Derecho a la salud,Comisión de Derechos Fundamentales
